Review,Class
"Hemos ido a dar un paseo, el viaje fue horrible, así que no aprender mucho sobre el enriquecimiento... De todos modos, la historia tiene que ser demasiado genial para ser digno, es hermoso, pero al mismo tiempo super caliente y soleado, en mi opinión, no volveremos, seguro. Si odias el clima caliente no vayas.",2
"El hotel es sucio, muy viejo. Los pasillos están todos manchados y huelen a moho. Las sábanas de nuestras camas estaban manchadas, el baño soltaba agua cada vez que tirábamos de la cisterna. Las puertas de los muebles estaban rotas. El desayuno es pésimo y te cobran el precio de una noche como si fuese un hotel de cuatro estrellas cuando en realidad no debería tener ni una sola!  Tuvimos un problema con nuestra reserva, no la encontraban, y no se dignaron a prestarnos ayuda en ningún momento, todo eran pegas.  No se lo recomiendo a nadie.",1
"Según los compañeros, merece la pena jugarse la vida en el Teleférico,,.  Bonitas vistas interiores y exteriores. ",4
"Evita este hotel si tienes la oportunidad. Tal vez visita a ver algunas de las figuras famosas desde los años cincuenta, etc. que lo han visitado y disfrutar de su ambiente histórico pero luego la vuelta y vete a otro sitio.  Nos alojamos aquí antes de volar a casa, después de tener una buena introducción a la Habana y Cuba con tres noches en el Parque Central y luego 12 noches en Guardalavaca en el Paradisus. (ver otros comentarios)  Nos habían dicho que algunas historias de horror de otras personas que conocimos a la Nacional y tiene que ser nos dijo que también experimentado iguales.  El personal era brusco y desagradable, el hotel está siendo restauración que es ruidoso y discretos. El buffet del desayuno era de mala calidad, aburrido y la habitación en sí recuerda un…",2
"Monserrate está situado cerca del casco antiguo de la ciudad y ofrece fantásticas vistas del centro antiguo de la ciudad desde la cima de las montañas. Se puede ir andando, o tomar un tranvía (como un tranvía Peak en HK), o tomar una góndola para llegar allí. Tomar un tranvía o góndola le costaría alrededor de 10 dólares en caso de viaje de ida y vuelta, lo cual es bastante razonable. Sin embargo, tienes que esperar mucho tiempo en los fines de semana.La vista desde la cima de Monserrat es realmente maravilloso y tienen un mercado callejero que vende un montón de recuerdos y comida local. Sin embargo, la calidad de la comida es tan terrible y caro. Intenta evitar tener una comida.He oído que hay un restaurante francés elegante, pero no tuvimos tiempo de probarlo.",4
"Este enfriador, pero dentro nos gustó mucho paladare. Es bastante difícil de encontrar, porque afuera son tabla de una variedad de otros restaurantes y hay un montón de Jineteros que tratan de cambiar su mente. Si quieres ir allí, hacer una reserva y cumplir. El...menú ist bastante pequeña pero todo lo que comimos estaba bien, con precios muy razonables. Un lugar para visitar, con un servicio muy agradable y amableMás",4
"El Parque Morro - Cabaña Historica Militar está formado por dos fortalezas: El Morro y la cabaña (al otro lado del canal del puerto). Juntos hacen el museo más grande en Cuba.Si te gusta la historia militar, armaduras, armamento, etc. entonces esta es una visita obligada. De lo contrario, sólo es un precioso fort en uno de los extremos de los 8 Km. de largo malecón.",4
"La mejor elecciona para turistas la vista de bogota, sus tradicionales queso con agua de panela, ademas de poder almorzar sancicho, gallina, sopas, caldos y demas",4
Siendo una interesante plaza restaurada a gloria con interesantes comentarios acerca de las casas antes de que restaurado. Nos dijeron que las personas que viven en la antigua paladars nos dieron la opción de trasladarse a los suburbios de bloques de apartamentos. Quienes han decidido quedarse sigan viviendo en los edificios antiguos. Para ver las etiquetas de moda extraña en elegantes tiendas y supongo que está destinado a ser para turistas que quieran pasar a bienes de alta calidad. Un poco incongruente y quizás una visión de cosas por venir?,4
"Mi hija y yo fuimos a Mérida principalmente para la escuela de español durante una semana. Estamos alojados en el centro de la ciudad, así que parte fue agradable ser invitado a un área diferente para la cena esta noche. No me decepcionó con mi...comida esta noche. Me gustó mucho la comida en La Pigua. Tuve la ensalada de mariscos y camarones de coco. Ambos eran muy buenos. Llegamos a las 8:30. No había mucha gente, y el servicio era rápido y amable. Mi hijo de 13 años es muy quisquillosa con la comida y yo no tenía idea de cómo ella iba a hacer la comida aquí. Ella también tenía camarones de coco y también lo disfrutaron. Siento no tener tiempo para comer aquí de nuevo antes de volver a casa.Más",4
"Nos fuimos temprano para disfrutar de una vista clara y evitar aglomeraciones. La ruta a pie está cerrado y obras, hubiera sido mi elección, pero no tengo ninguna queja. Era el lugar perfecto para comenzar nuestra visita a Bogotá.",5
"Estuvimos 6 días. Inicialmente la hora 25 minutos, pasillo a rancio de la planta 17 y aire acondicionado piscina de fuga de agua no comenzar nosotros. Sin embargo la habitación vista, 1721, era fabuloso, la cama enorme (pero muy difícil) y todo lo demás como se esperaba.  Los restaurantes del hotel son buenas para pescado /carne pero extremadamente pobre para vegetarianos. Ni siquiera un plato. Los chefs no tenía imaginación cuando pedimos que seamos creativos. Mi esposa es español, así que el idioma no fue un problema.  El autobús de enlace gratuito hacia el centro sólo salía 50% del tiempo por lo que no cuente con ella. Nos quedamos atrapados varias veces que tuvimos que pagar por los taxis, que son baratos lo admito.  La calidad de acceso a Internet es licenciado por precio,…",1
"Mientras disfrutamos de la experiencia de pasear por el malecón, no era tan encantador como descritas en las guías de viaje. Mientras la zona bastante limpio sólo tenía unos pocos sitios para comer y no hay sitios de interés excepcional. El paseo no proporcionan una buena idea de la vida diaria en La Habana.",3
"Los chicos de joy squad le dieron una gorra y un colgije a Nicole por su cumpleaños, muchas gracias a Héctor, yair, tino, ángel. Los cocos son muy buenos para este clima junto con las piñas locas recomendado para toda la familia",5
"Tengo sentimientos mezcla sobre este lugar. Creo que hacen un buen trabajo haciendo su cabrito, que es su especialidad. Sin embargo, no debería ser mucho más. He pedido arrachera (carne) y cabrito carne. La carne estaba sólo acompañado con cebollas y un par pieves de...brécol y nada más. ¿Qué ocurrirá con el arroz y los granos. Lo que pasó con el guacamole! ! Venga chicos su México por llorando en voz alta. No hay grandes supongo ya que la carne estaba buena, puedo vivir sin las otras cosas. Donde quiero quejarme era el servicio, fue horrible. Tuve unas cuantas anciano esperando por mí y que parecía ser miserable trabajando allí, me tomó por siempre para conseguir algo. Yo supongo que se ha estado trabajando allí para toda su vida, y quizás es por eso que están aún allí. Servicio de atención al cliente necesita ayuda. Parece ser un restaurante emblemático así no quiero desalentar a cualquiera para probar al menos una vez.Más",3
"he visitado Cuba durante 10 años, y cada vez Melia Cohiba es mi destino único, estoy realmente impresionados con el nivel de servicio y la hospitalidad ofrecida por este hotel auténtico.Sin embargo, como fiel, me permiten confirmar que el hotel necesita algunas reformas interiores, creo que algunos de los muebles deben ser renovado, junto con todo lo demás es realmente genial.Además, será también visitar el hotel este año el 25 de febrero, y estoy seguro de que mi estancia será una delicia como de costumbre.",4
Uno de los acuarios que hasta hace poco era de los mas grandes.Aqui puedes observar varias especies de peces.Para ir con niños y pasar un rato agradable.,4
"Cierran a las 3 pm, cobraron $85 adultos y niños (por lo menos los de 2 años) y adulto mayor gratis. A la entrada hay guías.  Se juntan grupos de mínimo 10 personas y te cobran $70 por persona o $700 a quien se los pague. Excelente explicación y atención de parte de ellos. Poca claridad de información en redes, y el número telefónico no sirve. Llegamos fácilmente con waze. Lleven buen bloqueador, sombrero y de preferencia tenis.",3
"El museo tiene un contrasta entre la moderna arquitectura, y su contenido barroco.Cuenta con una exposición permanente y una temporal.Ademas de un restaurante y cafetería.Los domingos la entrada es gratuita",4
"Iba con bastante recelo por los comentarios vertidos en esta app, pero todo estuvo bastante correcto. El lobby del hotel es precioso, suelo y techos originales,data de 1908; el ascensor funcionaba perfectamente, la habitación espaciosa con un balcón  agradable para contemplar el devenir habanero. Un armario con un montón de perchas( esto lo digo porque por experiencia en muchos de los hoteles en los que me he alojado escasean hasta el punto de que siempre llevo unas cuantas en la maleta). El cuarto de baño grande y con lo imprescindible, también secador de pelo. Hay plancha, caja fuerte, aire acondicionado que funcionaba bien. Hace falta llevar adaptador de corriente. El desayuno se realiza en la quinta planta y es una zona muy bonita, un salón con una terraza con vistas a la…",3
"El cuarto de baño no era lo que yo esperaba, les falta estilo y cosas básicas. La comida era muy buena, el servicio es muy bueno. El aire acondicionado era muy ruidoso, me costó un poco dormido, y tenía un montón de cervezas antes !!!!!!! Aparte de eso, no estaba mal. Muy fácil de encontrar.",3
"Es muy buen hotel,, el servicio es execelente y las instalaciones muy modernas!!! Gracias por todo, la ubicación es excelente, una recomendación tratar de tener más carpas en la playa!!! De resto todo es muy bueno  ",5
"10 años de membresía y jamás me habían sacado así... la Srita encargada De la Torre 2 de Gran luxxe pésima HEISET, se mostró muy amable y atenta al inicio pero a la hora de nuestro check out (poco le falto darnos la patada)!!!
Cero amable pero con su cara de buena y atenta me pidió que la recordará por este medio y diera algún comentario de ella.

Aquí está me comentario...
estuvimos del jueves 20 al domingo 24 de Octubre
Así que recién salido del horno mi mensaje.

Todo lo demás estuvo como siempre muy bien...",2
"Lindo, pero en refacción desde hace mucho tiempo, por lo que no se permite ingresar, lindo para sacar fotos desde enfrente. ",4
"La catedral, situada en la plaza principal, vale la pena pasear si en la ciudad. No es una abadía de Westminster, pero tiene características y atractivos históricos, y fue visitada por el Papa.",3
"Se aprovechan de turistas incautos y personas ingenuas que solo quieren pasar un buen rato para estafar de forma descarada con un cover absurdo (40.000 pesos colombianos), mal servicio, mala comida, coteles y bebidas costosisimas y con un ambiente ruidoso y con malos artistas en...Más",1
Hay mucho orden para abordar. La vista es espectacular y la velocidad del transporte es adecuada para poder tomar buenas fotografías de Medellín.,4
"Si viene en el agua pasará del siglo xvi Castillo de la Real Fuerza. La plaza está rodeada de palacios, ahora un museo, Museo de la ciudad, el Hotel Santa Isabel, El Templete. Las calles laterales, llamas, correr desde la plaza están llenas de tiendas y restaurantes y hermosos edificios. Vale la pena una visita.",5
Los tiquetes para subir en teleférico son demasiado caros. Al llegar arriba hay que caminar un trecho corto sucio para llegar al santuario que aparte de ser grande y estar el Cristo caído no tiene ningún interés. San Isidro y Santa Clara son dos casas lindísimas enclavadas en el cerro y muy bien conservadas con la mejor vista de Bogotá pero solo se puede entrar a tomar café porque son exageradamente caros.,2
"Es un sitio que se debe visitar asi sea.una vez al viajar a cartagena, lleno de historia y allí se pueden sacar unas fotos espectaculares. Recomiendo tomar.el.tour de trolley bus en el.cual te llevan a conocer los lugares mas representativos de cartagena.",4
a este restoran llegamos gracias a un conductor de cocotaxi. el lugar esta ubicado en la habana centro y esta en un segundo piso de un edificio que por fuera se ve muy antiguo. solo un detalle porque cuando entras al restoran te encuentras con...Más,4
"Bueno, bonito y barato  Así es es un hotel de calidad acorde. Lo que pagas Descanse bien solamente  El baño él área de la regadera es muy pequeño Pedí Room Service u solo pedí una coca y tardo más de 30 min no es posible Si de algo se es de servicio soy gte de Ayb en Cancún en una cadena de hotel y la pudo decir que estos detalles importan y mucho ojo con esto tal vez por ser un Pedido  pequeño no le dieron La suficiente importancia suficiente pero para mí como cliente cuenta mucho Además me tuvieron que cambiarme de hab por que la primera estaba tapado el lavabo  Si regreso solo pongan atención a esos detalles Hab 317 antes 306 ",3
"muy agradable recorrer por la tarde el entorno del zócalo, sus establecimientos comerciales, restaurantes y el espectáculo de luz y sonido por la tarde- noche, la catedral es impresionante, recomiendo la visita",4
"Nuestra estancia fue muy pobre, nos abucheado el día antes de viajar y no nos dicen que había una boda en el hotel (llamamos el día anterior! ), no pudimos dormir nada, y nuestros hijos estaban inquietos. Si estás pagando este tipo de hotel en el que debo decir que tienen el hotel reservado para una boda. Cuando nos quejamos al día siguiente nos dijeron que como la mayoría de los huéspedes fueron invitados a la boda que permitieron al grupo a durar mucho tiempo de lo esperado, y no les importó no dormimos en todo (todo con una buena cara!)",2
"Es la primera vez que me hospedo en un hotel ibis, pensé que tendrían mejor servicio y resultó peor de lo que pensé. Las habitaciones está bien, pero el baño no cuenta con shampoo ni jabón por separado.   Además cuando llegue me mencionaron que tendría desayuno incluido, a la mañana siguiente desayuné, registre mi salida y me dijeron que tendría que pagar el desayuno, fue muy molesto.   Si buscan un hotel express eviten ibis.",2
"La organización de ev3nto y rl apoyo de logística y personal de apoyo muy atentos y servicio general prestos  a cualquier  novedad que se nos presto oportunamente. . En cuanto a las instalaciones  orden y limpieza ,",4
"Fuimos con la compañía de excursión y el primer hotel en el que nos alojamos era el Sevilla. Estoy seguro que en una época en que podría haber sido grandioso pero por desgracia no es ahora. El vestíbulo era de estilo cubano típico pero cansados. La habitación que me dieron planta on1st estaba sucia y daba a un tejado con unidades de aire acondicionado. Me alojé en una noche y tenía mala noche de sueño en muy incómoda cama y ducha era un chorrito. Pedí que me cambiaran y nos dieron de mala gana habitación en la 5ª planta, que estaba cansado pero limpio y por lo menos pude ver luz.  Nos alojamos una noche al final de la excursión y nos dieron una habitación en la tercera planta. ¡Qué asco, estaba sucia y daba a pared. Sé que es probable que algunas de las habitaciones tienen este…",1
"El vestíbulo del hotel es impresionante. El servicio en el mostrador de recepción es mixta, todo el personal educado botones para un recepcionista maleducado. Las habitaciones están bien y eso era todo. El hotel es viejo y el suelo está sucia. Pero comparado con cubano estándar, este hotel es totalmente aceptable. No hay problema alojarse aquí por un par de noches. El desayuno está bien, en el lado positivo, se puede comer fuera en una bonita terraza azotea.",3
"Llegamos a Puebla hasta tarde en la noche del sábado. Nos dirigieron al Zócalo por el personal del hotel como un lugar donde nos íbamos a encontrar algo de comer. Las calles que conducen desde nuestro hotel a la plaza estaban desiertas pero la plaza era un núcleo de una actividad. vendedores ambulantes vendiendo globos, comida, chucherías, familias comer fuera, entretiene de músicos en los restaurantes al aire libre. había sin duda un espíritu de vacaciones en esta multitud de Pueblans locales!",5
"Un hotel de 5 estrellas, mejor diría estrellado... Es una verdadera vergüenza que se nos haya perdido un maletín en el lovy del hotel, que se haya cortado como 7 veces la electricidad y que los guardias de seguridad no hayan hecho nada al respecto, dando la explicación estúpida  que supuestamente no pudieron ver nada en las cámaras porque se había cortado el servicio de electricidad, uno realmente queda con miedo con esto, donde estábamos? no se supone en en los hoteles del calibre del MELIA tendrían que tener la seguridad máxima en todas las áreas????? Realmente esperábamos mucho y no recibimos nada... es una verdadera lastima tantas falencias en un solo lugar.",1
"La primera cosa que le llevar es la cálida bienvenida que reciben de todo el personal. El hotel es muy tranquilo, con cómodas habitaciones y un cuarto de baño muy bonito. Las habitaciones estaban limpias y la cama muy cómoda. El hotel está un poco lejos del centro de la ciudad para caminar, pero los taxis son baratos y es una ciudad muy segura. El hotel tiene una agradable zona de bar y una agradable piscina. Hay restaurantes a poca distancia a pie del hotel. Me alojaría aquí de nuevo.",4
"Bueno, reservamos, a pesar de que ya había leído malas experiencias del restaurante y malos comentarios decidimos darle una oportunidad porque nos encontrábamos en el puerto, nos gusta visitar restaurantes y disfrutar de una buena experiencia gastronómica, lo cual lamentablemente no se tuvo desde la...llegada, a pesar de mi reservación no sabían de ella, quien me recibió, fue mi mesero, el lugar es bonito pero ir a cenar resulta complicado, por ejemplo para leer el menú con el tipo de iluminación que tiene el lugar si a mi se me dificulto, no me quiero imaginar una persona de mayor edad, 
después .... El trato del mesero ... nos vio muy chavos o no sé qué le pasó por la mente que parecía que solo quería que comiéramos y nos fuéramos (ESO SOLO PASÓ A LA LLEGADA Y DURANTE LA ESTANCIA) fuimos justamente el día que regreso de vacaciones el restaurante a lo cual nos dio a pensar y consideramos que el producto sería totalmente fresco del día, bueno.
se ofrece un menú “recomendado por el chef” el cual resulta ser riesgoso... (PORQUE SI ASÍ ESTUVO LO QUE PEDIMOS NO ME QUIERO IMAGINAR MI DINERO MAL GASTADO EN UNA COMIDA QUE VALÍA LA PENA EL GASTO)

nosotros decidimos no pedirlo y pedir lo más solicitado según lo que leí del restaurante, 
NADA MAGNÍFICO, NADA DE SABOR, LA COMIDA NO VALE LO QUE CUESTA, platos bonitos con bonita presentación. Es todo, sin sabor, sin corazón en el plato, sin dedicación soy cocinero y puedo asegurar que en cada platillo que consumí no fue hecho con la dedicación ni el pensamiento de dar a conocer lo bien hecho.

Taco de Jaiba fue lo único rescatable, 
Tienen Unos churros malísimos, horribles, un chilpachole sin sabor más que a chile con masa, pero lo peor fueron los postres de verdad tristemente malos, lo único bueno de toda la estancia en el restaurante fue el bartender con excelentes bebidas y presentación el verdaderamente parecía que le gustaba realizar su trabajo, cuando de verdad aman lo que hacen los demás podemos percibirlo de muchas maneras, como la buena atención que nos brindó su bartender, la explicación de sus bebidas, la presentación de cada una de ellas, su sabor todo muy bien con el o tal ves pudo haber sido con el buen sazón de parte de cocina que no existió o en el trato del mesero, lamentablemente no volvería al lugar ni lo recomendaría, la música muy alta que no nos dejaba hablar, 
Y LO MEJOR ...
la actitud del mesero cambio al incluirle su propina.
Ahora si se porto amable y más atento, en resumen comida para alguna buena foto, si quieren conocer veracruz por su comida este lugar no sería su mejor opción, 
ESTE O NO ESTE EL CHEF, TODO DEBERÍA MARCHAR TAN PERFECTO Y DE CALIDAD COMO CUANDO EL ESTÁ PRESENTE EN EL RESTAURANTE, CONSTANCIA DE LO BIEN HECHO.
LAMENTABLEMENTE MALA EXPERIENCIAMás",2
"hola mi nombre es Ivan Plascencia 

Nos hospedamos mi esposa y yo del viernes 1 al lunes 4 de noviembre en el hotel, venimos a Merida a una boda, nuestra llegada fue buen y la master suite súper padre, algo raro pasó el sábado por...Más",1
"Hotel moderno por dentro, elegante por fuera. Precioso diseño en su fachada, con una ubicación privilegiada. Las vistas son muy buenas, y su situación permite visitar lo más emblemático de La Habana fácilmente. La zona de piscina merece un rato de relax, si bien el sol no da apenas en la zona de tumbonas. Las habitaciones son amplias, con camas cómodas. La ducha dejaba escapar el agua, de modo que tuvimos que poner toallas en el suelo. No reponen las amenities. Ciertamente hay que tener en cuenta las limitaciones del país, que hacen que no sea un cinco estrellas como en otros lugares.El buffet de desayuno,en la misma línea.",5
"Es un topico comer cabrito en Monterrey y con ese fin acudi a El Gran Pastor. Buenas criticas que no consigo entender. Un local grande y desangelado, preparado para recibir grupos. Meseros atentos, sin mas. Comida mala y mal presentada. Pobre barra de ensaladas....Carne fria....Más",2
"Generalmente, un Hotel Quinta Real se distingue por su servicio de excelencia, lamentablemente en esta propiedad les falta mucha atención en el servicio. La comida del restaurante es deliciosa pero es servicio es malísimo. Definitivo hay mejores hoteles para quedarse en Puebla.",3
"Muy buen ambiente, acogedores velas en las mesas, chimenea. Muy buena tomate y excelente carne. camarera de tipo.",5
"Nos quedamos en la suite 16, la cama ruidosa, no hay tapetes de baño ni saltos de cama. En el bar pedimos una botana y no tienen.",3
"Hotel moderno, iluminado, servicio muy amable, excelente cocina, habitaciones también modernas, muy bien ubicado, en la zona nueva de Puebla. La vista del entorno es muy grata. Excelente experiencia. Recomendable. ",5
"El lugar es precioso y muy atractiva para visitar, pero no que los mojitos son especiales, no son malas, pero se puede beber mejor en la Habana y aquí son muy caros (5 euros por un pequeño vaso).",2
"Las instalaciones son muy aseadas y especialmente agradables, las bebidas muy buenas y las zonas húmedas espectaculares, sin duda muy recomendado para pasar un buen momento en familia, amigos o en pareja.   Camila Herrera, Hoster. Fue muy amable y agradable",5
"El lugar es una maravilla que merece ser visitado. El servicio de cobro es pésimo y no es por el dinero porque mucha gente entra gratis, se hacen filas de más de 1 hora para pasar a pleno sol y mucha gente se mete disque al baño y no hace fila. Esta muy desorganizado.",2
"Es un lugar muy lindo para fotografías, visiten Selina, música en vivo, cerveza artesanal y buena comida",5
"El lugar es muy bonito y agradable, sin embargo el servicio es pesimo: el mesero no conoce el menu, se tardan mucho para traer los alimentos y bebidas. Ademas el dueño grita y trata muy mal a sus empleados",2
"Es un hotel sin más. Para mí los lugares los hace su gente y este hotel no se destaca en su servicio. Los de recepción son poco amables, los del buffet también. Tomar un ascensor es un suplicio, yo pasé 4 noches y la verdad no lo elegiriá nuevamente. Yo estube en el piso 19 y la vista fue muy linda, incluso la habitacion estaba muy bien.  El desayuno es excelente.  Para los que yo preferimos la habana vieja no conviene este hotel, ya que te sale 5 cuc el taxi de ida y lo mismo para la vuelta. En la habana vieja hay un hotel que conoci por unas amigas y recomiendo, se llama Hotel Plaza, a 1 cuadra de La Floridita.",3
"Es un concepto de fusión comida japonesa y peruana recomendado el pulpo y la panceta de cerdo, y como entrada el ceviche de atún es de ataque por seis personas el costo fue promedio de 90 mil pesos .",4
"Pasamos Mardi Gras semana (2013) allí. Muy básico, con muy poco en el camino de instalaciones pero je, se obtiene lo que se paga por lo que en general, no tengo quejas principales aparte de una posible salida estafa que participaron 40 dólares añadida a mi tarjeta de factura al salir. Cuando preguntó me dijeron que era 'para gastos de aparcamiento pero no sería dedited a mi cuenta"".  razonable realmente como todos mis coches 12,000 millas lejos! Cuando factura de la tarjeta de crédito llegamos, y mira que sí lo has adivinado! Sin embargo, después de un par de llamadas de teléfono esto $40 ha sido reembolsado. Pero ver este!.",3
"Me acaban de echar anoche a uno de los backtenders de las novias propietarias cuando pido las imágenes, no me dejaron verlas, en el peor lugar del mundo. Demandaré a ese lugar.",1
"Mi experiencia y cada uno de los ""touchpoints"" que tuve fueron malos. Mi comentario está basado en una expectativa que tenía sobre el lugar. 

El servicio fue regular. Esperas algo más debido al costo. He ido a restaurantes del mismo nivel y el servicio ha...Más",1
"No hay nada más importante. Hotel es no la venta y segura. Hemos trabajado y viajado extensamente en los países desarrollados y los países en desarrollo, Etiopía, Sudán, Uganda. Nunca antes nos robaron dinero o había visto tan Lax seguridad.",1
"Visité Tagers por primera vez por las recomendaciones que leí en TripAdvisor y valió la pena. 

Lo mejor
- El pan Dulce. Desde la entrada se percibe el olor exquisito a pan en el horno. La concha de vainilla estaba espectacular. Ya quiero regresar por...Más",4
"Vale la pena pasar por el lugar y visitarlo En el mero centro de la ciudad, centro histórico Y enfrente los escalones para estar sentados.",4
"Estuvimos tres días en agosto 2013 –28, 29 y 30- y sólo un día hubo agua caliente en el baño así que nos tuvimos que bañar con agua fría!!! Además tampoco había suficiente agua en los inodoros así que los baños estaban muy sucios!!!En pleno mes de verano, la piscina estaba clausurada! No lo recomiendo! Hay varios hoteles mejores y con mejor servicio en La Habana!!",2
"10 años de membresía y jamás me habían sacado así... la Srita encargada De la Torre 2 de Gran luxxe pésima HEISET, se mostró muy amable y atenta al inicio pero a la hora de nuestro check out (poco le falto darnos la patada)!!!
Cero amable pero con su cara de buena y atenta me pidió que la recordará por este medio y diera algún comentario de ella.

Aquí está me comentario...
estuvimos del jueves 20 al domingo 24 de Octubre
Así que recién salido del horno mi mensaje.

Todo lo demás estuvo como siempre muy bien...",2
